serial_number,list_year,date_recorded,town,address,assessed_value,sale_amount,sales_ratio,property_type,residential_type,years_until_sold
70480,2007,4/21/2008,Hartford,247-249 LAWRENCE ST,60754,290000.0,0.209496552,Three Family,Three Family,1
60533,2006,5/11/2007,West Haven,170 DALTON ST,220430,23419.0,9.412442888,Two Family,Two Family,1
70542,2007,5/15/2008,Hartford,44-46 KENT ST,45602,200000.0,0.22801,Three Family,Three Family,1
71063,2007,4/30/2008,Bridgeport,160-162 FOX ST,153720,337500.0,0.455466667,Three Family,Three Family,1
70371,2007,2/13/2008,New Haven,113 PUTNAM ST,191240,260000.0,0.735538462,Two Family,Two Family,1
70606,2007,6/18/2008,Meriden,9 RANDOLPH AVE,125850,20000.0,6.2925,Three Family,Three Family,1
71659,2007,9/2/2008,Bridgeport,494-496 GREGORY STREET,89320,132000.0,0.676666667,Two Family,Two Family,1
60110,2006,7/31/2007,Redding,21 GOODRIDGE RD,422660,920000.0,0.459413043,Two Family,Two Family,1
60495,2006,12/6/2006,Waterbury,86-88 WOODLAND AVE,85410,225000.0,0.3796,Two Family,Two Family,0
60207,2006,9/28/2007,Putnam,40-44 WOODSTOCK AVE,134800,255000.0,0.528627451,Two Family,Two Family,1
61596,2006,8/17/2007,Norwalk,17 ELIZABETH ST,257110,580000.0,0.443293103,Two Family,Two Family,1
60657,2006,5/15/2007,Stratford,207 BOSTON AVE,148680,360000.0,0.413,Two Family,Two Family,1
70132,2007,11/19/2007,Meriden,120 LINSLEY AVE,154945,140000.0,1.10675,Three Family,Three Family,0
71606,2007,8/25/2008,Bridgeport,373-375 MIDLAND STREET,226600,400000.0,0.5665,Three Family,Three Family,1
70828,2007,9/3/2008,Hartford,59-61 GRANT ST,55486,122000.0,0.454803279,Two Family,Two Family,1
70747,2007,6/23/2008,New Haven,463 BLATCHLEY AVE,123340,150000.0,0.822266667,Three Family,Three Family,1
70146,2007,12/5/2007,Fairfield,130 BRENTWOOD AVE,262220,259900.0,1.00892651,Two Family,Two Family,0
70544,2007,6/5/2008,Greenwich,525 EAST PUTNAM AVE,754530,1400000.0,0.53895,Two Family,Two Family,1
70150,2007,10/23/2007,Bridgeport,354-356 NEWFIELD AVE,110320,315000.0,0.350222222,Three Family,Three Family,0
60657,2006,7/9/2007,West Haven,649 FOREST RD,234500,370000.0,0.633783784,Three Family,Three Family,1
70622,2007,7/7/2008,Milford,145 HARRISON AVE & KNOLL,222590,300000.0,0.741966667,Two Family,Two Family,1
70997,2007,8/26/2008,New Haven,259 WEST HAZEL ST,164010,140000.0,1.1715,Three Family,Three Family,1
70906,2007,7/31/2008,New Haven,148 MONROE ST,156310,225000.0,0.694711111,Two Family,Two Family,1
71329,2007,6/23/2008,Bridgeport,454-456 NEWFIELD AVE,102420,72000.0,1.4225,Four Family,Four Family,1
70219,2007,6/20/2008,New London,36 BLINMAN ST,106470,153500.0,0.693615635,Three Family,Three Family,1
70577,2007,1/14/2008,Bridgeport,909 HANCOCK AVE,151870,312000.0,0.486762821,Three Family,Three Family,1
71483,2007,7/25/2008,Bridgeport,26-28 HANFORD AVE,149200,218500.0,0.682837529,Two Family,Two Family,1
71434,2007,7/16/2008,Bridgeport,62-64 PORTER ST,162940,275000.0,0.592509091,Three Family,Three Family,1
70469,2007,12/21/2007,Bridgeport,76 LENOX AVE,143470,290000.0,0.494724138,Two Family,Two Family,0
70197,2007,10/30/2007,Bridgeport,1793 CENTRAL AVE,83170,134000.0,0.620671642,Two Family,Two Family,0
60455,2006,4/11/2007,West Haven,202 WASHINGTON AVE,186480,265000.0,0.703698113,Two Family,Two Family,1
70354,2007,2/21/2008,Hartford,118-120 KENT ST,45891,70000.0,0.655585714,Three Family,Three Family,1
70190,2007,12/4/2007,New Haven,12 EDWARDS ST,222110,277000.0,0.801841155,Two Family,Two Family,0
60570,2006,12/21/2006,Waterbury,1336 HIGHLAND AVE,103600,230000.0,0.450434783,Two Family,Two Family,0
60092,2006,1/11/2007,Stonington,59 E MAIN ST,204500,379000.0,0.539577836,Three Family,Three Family,1
70180,2007,1/3/2008,Groton,107 SPICER AVE,223230,360000.0,0.620083333,Four Family,Four Family,1
70981,2007,8/20/2008,New Haven,127 CLAY ST,136080,90000.0,1.512,Two Family,Two Family,1
60637,2006,6/28/2007,West Haven,171 LAMSON ST,132580,205000.0,0.646731707,Two Family,Two Family,1
70716,2007,2/15/2008,Bridgeport,24-26 FLOWER ST,129350,232000.0,0.557543103,Two Family,Two Family,1
70073,2007,10/10/2007,Bridgeport,16-18 JETLAND PL,146020,245000.0,0.596,Two Family,Two Family,0
70289,2007,2/15/2008,Greenwich,60 CHAPEL ST,565110,322987.0,1.749636982,Two Family,Two Family,1
70227,2007,2/19/2008,Torrington,16 PINE ST,79200,164000.0,0.482926829,Two Family,Two Family,1
71004,2007,4/16/2008,Bridgeport,65-67 SCOFIELD AVE,189800,270000.0,0.702962963,Three Family,Three Family,1
61451,2006,3/19/2007,Waterbury,166 COOKE ST,55860,148847.0,0.375284688,Two Family,Two Family,1
70265,2007,1/11/2008,Hartford,22-24 MCLEAN ST,49395,239000.0,0.20667364,Three Family,Three Family,1
71424,2007,7/15/2008,Bridgeport,1880-1882 STRATFORD AVE,121320,253000.0,0.479525692,Three Family,Three Family,1
70036,2007,10/9/2007,Southington,350 W CENTER ST.,197890,298000.0,0.664060403,Two Family,Two Family,0
70465,2007,5/19/2008,Manchester,178 MAPLE ST,180100,275000.0,0.654909091,Three Family,Three Family,1
61361,2006,5/10/2007,Waterbury,8 RIDGEWOOD ST,72590,188000.0,0.386117021,Three Family,Three Family,1
70226,2007,3/24/2008,Branford,156 HARBOR ST,332000,550000.0,0.603636364,Three Family,Three Family,1
70359,2007,4/2/2008,East Hartford,32 BIDWELL AVE,173500,254000.0,0.683070866,Three Family,Three Family,1
70043,2007,8/5/2008,Sprague,43 RIVER ST,104100,168000.0,0.619642857,Two Family,Two Family,1
70366,2007,12/3/2007,Bridgeport,218-220 HUNTINGTON RD,94570,205000.0,0.461317073,Two Family,Two Family,0
70373,2007,2/15/2008,New Haven,583 HOWARD AVE,277200,420000.0,0.66,Four Family,Four Family,1
70943,2007,8/11/2008,New Haven,92 EAST PEARL ST,240240,340000.0,0.706588235,Four Family,Four Family,1
60556,2006,6/4/2007,Torrington,31 RED MTN AVE,77500,173000.0,0.447976879,Three Family,Three Family,1
70510,2007,5/1/2008,Hartford,218-220 MARTIN ST,36933,65000.0,0.5682,Two Family,Two Family,1
60111,2006,5/22/2007,Thompson,35 BUCKLEY HL RD,125800,225000.0,0.559111111,Two Family,Two Family,1
71376,2007,7/1/2008,Bridgeport,1175-1177 HANCOCK AVENUE,113470,138000.0,0.822246377,Two Family,Two Family,1
71518,2007,8/4/2008,Bridgeport,194-196 SAVOY STREET,150070,250000.0,0.60028,Three Family,Three Family,1
70940,2007,8/11/2008,New Haven,3 KING PL,132300,81000.0,1.633333333,Two Family,Two Family,1
60288,2006,8/10/2007,Watertown,57 FALLS AVE,116800,190000.0,0.614736842,Two Family,Two Family,1
70133,2007,11/29/2007,Greenwich,59 VALLEY RD,725340,550000.0,1.3188,Two Family,Two Family,0
60057,2006,11/16/2006,Windham,43 MAIN ST,94430,175000.0,0.5396,Three Family,Three Family,0
70363,2007,3/31/2008,Manchester,3 TYLER CIR,130100,182000.0,0.714835165,Two Family,Two Family,1
70110,2007,7/1/2008,Derby,5-7 PROSPECT ST,140000,85000.0,1.647058824,Two Family,Two Family,1
60331,2006,2/27/2007,Norwich,39 BALTIC ST,67000,83000.0,0.807228916,Two Family,Two Family,1
70452,2007,5/14/2008,East Hartford,396-398 BURNSIDE AVE,145050,3000.0,48.35,Two Family,Two Family,1
71501,2007,7/31/2008,Bridgeport,25-27 BEACH ST,115710,65000.0,1.780153846,Two Family,Two Family,1
70116,2007,10/16/2007,Bridgeport,135 MOREHOUSE ST,116970,127000.0,0.921023622,Two Family,Two Family,0
70449,2007,3/20/2008,New Haven,35 DEWITT ST,111720,65000.0,1.718769231,Three Family,Three Family,1
60264,2006,1/16/2007,West Haven,263 NOBLE ST,147070,195000.0,0.754205128,Two Family,Two Family,1
60201,2006,12/15/2006,Torrington,48 WINTHROP ST,91600,189000.0,0.484656085,Three Family,Three Family,0
70161,2007,10/25/2007,Bridgeport,107 FREMONT ST,120850,384000.0,0.314713542,Three Family,Three Family,0
70277,2007,2/1/2008,Manchester,227 WEST CENTER ST,165400,219400.0,0.753874202,Two Family,Two Family,1
60037,2006,10/6/2006,Wethersfield,21-23 JORDAN LN,127000,294000.0,0.431972789,Two Family,Two Family,0
62122,2006,9/25/2007,Waterbury,109 DANIELLE ST,86940,245000.0,0.354857143,Two Family,Two Family,1
70112,2007,11/9/2007,Manchester,22 NORTH ELM ST,154900,180000.0,0.860555556,Two Family,Two Family,0
60597,2006,7/2/2007,Norwich,100 N MAIN ST,52000,50000.0,1.04,Two Family,Two Family,1
70049,2007,10/25/2007,Hartford,76-78 GREENFIELD ST,48435,13700.0,3.53540146,Three Family,Three Family,0
60276,2006,9/10/2007,Stafford,4 LYONS RD,111370,140000.0,0.7955,Four Family,Four Family,1
60541,2006,12/4/2006,Waterbury,54 PLAZA AVE,85820,190000.0,0.451684211,Three Family,Three Family,0
70710,2007,7/17/2008,Hartford,283-285 SARGEANT ST,43284,152000.0,0.284763158,Two Family,Two Family,1
60167,2006,12/1/2006,Wallingford,423 CENTER ST,242480,350000.0,0.6928,Two Family,Two Family,0
71035,2007,4/23/2008,Bridgeport,105-107 SHERWOOD AVE,164300,220000.0,0.746818182,Three Family,Three Family,1
70132,2007,10/19/2007,Bridgeport,96-98 MOREHOUSE ST,132450,312500.0,0.42384,Two Family,Two Family,0
70043,2007,10/12/2007,Manchester,55 WINTER ST & OTHERS,926000,692000.0,1.338150289,Two Family,Two Family,0
71070,2007,9/10/2008,New Haven,52 HALLOCK ST,102410,200000.0,0.51205,Two Family,Two Family,1
